atom_type,protein_count,ligand_count,total_occurrence,Unnamed: 0,sybyl_type,element,hybridization,hydrogens,total_neighbors,definition,local_reference_frame
C.3r4x_2,107,447,554,37,C.3,C,sp3,2,4,sp3 C in 4-membered ring with hetero-atom neighbor,Anisotropic
N.ar6p_2,227,308,535,124,N.ar,N,sp2,1,3,"Unsubstituted, charged N in 6-membered aromatic ring",Anisotropic
C.3r5_4,65,425,490,42,C.3,C,sp3,0,4,sp3 C in 5-membered ring,Isotropic
I_1,3,484,487,88,I,I,sp3,0,1,Iodine group,Axial
N.ar6n_2,29,456,485,122,N.ar,N,sp2,0,2,"Unsubstituted, uncharged N in 6-membered aromatic ring next to N",Anisotropic
Na,472,0,472,145,Na,Na,/,/,/,Na ion,Isotropic
S.2p_1,31,424,455,170,S.2,S,sp2,0,1,sp2 S coupled to P,Axial
C.am_2,269,180,449,56,C.2,C,sp2,1,3,Carbonyl C in terminal amide,Anisotropic
C.3n_4,98,315,413,28,C.3,C,sp3,0,4,sp3 C bound to N + 3 other heavy atoms,Isotropic
C.3r4x_3,227,185,412,38,C.3,C,sp3,1,4,sp3 C in 4-membered ring with hetero-atom neighbor,Axial
N.4_4,102,308,410,108,N.4,N,sp3,0,4,"Quaternary amine, charged",Isotropic
N.2n_2,50,311,361,97,N.2,N,sp2,"[0,1]","[2,3]",sp2 bound to N and C,Anisotropic
O.3s_2,147,189,336,158,O.3,O,sp3,0,2,Connecting O between sulphates,Anisotropic
C.3r4_3,66,262,328,36,C.3,C,sp3,1,4,sp3 C in 3-membered ring,Axial
C.3hal_3,12,294,306,24,C.3,C,sp3,1,4,sp3 C bound to halogen,Axial
K,284,0,284,89,K,K,/,/,/,K ion,Isotropic
N.ar6np_3,8,257,265,123,N.ar,N,sp2,0,3,"Substituted, charged N in 6-membered aromatic ring next to N",Axial
C.co2_2,262,0,262,69,C.co2,C,sp,0,2,CO2,Isotropic
N.3n_2,147,89,236,102,N.3,N,sp3,1,3,sp3 N bound to N and C,Anisotropic
Ni,227,0,227,146,Ni,Ni,/,/,/,Ni ion,Isotropic
C.3s_3,15,170,185,54,C.3,C,sp3,1,4,sp3 C coupled to S,Axial
C.3hal_2,9,163,172,23,C.3,C,sp3,2,4,sp3 C bound to halogen,Anisotropic
N.3n_1,97,52,149,101,N.3,N,sp3,2,3,sp3 N bound to N,Axial
N.3n_3,133,16,149,103,N.3,N,sp3,0,3,sp3 N bound to N and 2 C's,Axial
C.3r4x_4,73,48,121,39,C.3,C,sp3,0,4,sp3 C in 4-membered ring with hetero-atom neighbor,Isotropic
Cd,120,0,120,83,Cd,Cd,/,/,/,Cd ion,Isotropic
C.3r3_4,6,96,102,31,C.3,C,sp3,0,4,sp3 C in 3-membered ring,Isotropic
N.3c_3,13,62,75,100,N.3,N,sp3,0,3,"Tertiary amine, uncharged",Axial
Cu,49,0,49,85,Cu,Cu,/,/,/,Cu ion,Isotropic
C.3s_4,0,42,42,55,C.3,C,sp3,0,4,sp3 C coupled to S,Isotropic
O.2o_1,17,0,17,148,O.2,O,sp2,0,1,Oxygen,Axial
S.o3n1_4,0,14,14,178,S.3,S,sp3,0,4,sp3 S coupled to O's and 1 N,Isotropic
N.2c_3,3,10,13,96,N.2,N,sp2,0,3,"sp2 N, tertiary, partial positive charge",Axial
N.sa3_2,0,10,10,143,N.2,N,sp2,1,3,Secondary sulfonamide N,Anisotropic
S.o2n1_4,0,5,5,176,S.3,S,sp3,0,4,Sulphonamide S,Isotropic
N.sa2_2,0,3,3,141,N.2,N,sp2,1,3,Secondary sulfonamide N,Anisotropic
N.sa2_1,0,2,2,140,N.2,N,sp2,1,3,Primary sulfonamide N,Axial
N.sa3_3,0,1,1,144,N.2,N,sp2,1,3,Tertiary sulfonamide N,Axial
C.3hal_1,1,0,1,22,C.3,C,sp3,3,4,sp3 C bound to halogen,Axial
